address	keyword_match	value	referenced_by_scoped_function
1806acce8	false	"bad allocation"	1806971dc
1806acd10	false	"bad array new length"	180697238
1806b4b10	false	"Azimuth"	1805d6e70
1806bb610	false	"string too long"	1805d7c50
1806bb620	false	"vector<T> too long"	1805d7c70
1806bbe10	false	"list<T> too long"	1805da950
1806bbe28	false	"map/set<T> too long"	1805f4e30,1805f5260,180628520,180628960,180685f90
1806be108	false	"bad locale name"	18067bb40,18067bf80
1806be128	false	"ios_base::failbit set"	180678cb0
1806be140	false	"ios_base::badbit set"	180678cb0
1806be178	false	"ios_base::eofbit set"	180678cb0
1807e9fb9	true	"CreateHeatProcessor_gpSurfaceHeatProcessorExists"	
1807ea00d	true	"gpSurfaceHeatProcessor"	
1807ed29a	true	"SurfaceHeatProcessor_HandlePingMessage"	
1807ed2da	true	"SurfaceHeatProcessor_HandleFwResetPing"	
1807ed310	true	"SurfaceHeatProcessorParseFullFrame2BytesNotSupported"	
1807ed354	true	"SurfaceHeatProcessorLogic_OnDeviceAttached_OutOfRange"	
1807ed3c8	true	"SurfaceHeatProcessor_~SurfaceHeatProcessor_Sending telemetry"	
1807ed414	true	"SurfaceHeatProcessorLogic_HandleStitchingModeChange"	
1807ed457	true	"SurfaceHeatProcessorLogic_ProcessHeatmap_Exit"	
1807ed4b4	true	"SurfaceHeatProcessorLogic_OnDeviceReset"	
1807ed619	true	"SurfaceHeatProcessorInit_HidDescriptorFailed"	
1807ed70d	true	"SurfaceHeatProcessorLogic_HandleDisplayChange"	
1807ed768	true	"SurfaceHeatProcessor_ProcessHeatmap_ParseFullFrameFailed"	
1807ed7ee	true	"SurfaceHeatProcessor_HandlePingMessage"	
1807ed8d2	true	"SurfaceHeatProcessorLogic_HandleStitchingModeChange"	
1807ed92a	true	"SurfaceHeatProcessorLogic_HandleTouchStudyTelemetryOutput"	
1807ed99b	true	"SurfaceHeatProcessorLogic_HandleNewHingeAngle"	
1807eda15	true	"SurfaceHeatProcessorLogic_OnDeviceAttached"	
1807eda90	true	"SurfaceHeatProcessor_HandleDir_NullPtr"	
1807edb2e	true	"SurfaceHeatProcessorParseFullFrameOnly1BytesSupported"	
1807edbaa	true	"SurfaceHeatProcessorLogic_OnDeviceDetached"	
1807edc08	true	"SurfaceHeatProcessorLogic_HandleDisplayChange"	
1807edc45	true	"SurfaceHeatProcessorLogic_OnDeviceAttached"	
1807edc89	true	"SurfaceHeatProcessorLogic_OnDeviceAttached_HidDescriptorFailed"	
1807edcf3	true	"SurfaceHeatProcessorLogic_HandleNewHingeAngle"	
1807edd40	true	"SurfaceHeatProcessorLogic_OnDeviceDetached_Devices0"	
1807edd83	true	"SurfaceHeatProcessor_HandleDir"	
1807eddc3	true	"SurfaceHeatProcessor_HandleFwEnterBlPing"	
1807ee2b0	true	"SurfaceHeatProcessor_OnSystemContextMessage"	
1807ee2fe	true	"SurfaceHeatProcessor_GetProcessorCapabilities"	
1807ee3ec	true	"SurfaceHeatProcessor_GetProcessorCapabilities_NotFound"	
1807ee432	true	"SurfaceHeatProcessor_HeatOnDeviceDetachedCalled"	
1807ee498	true	"SurfaceHeatProcessor_HandleSystemContextMessageHingeAngle_Exit"	
1807ee4ee	true	"HeatProcessHeatMapGetSectionPointerVendorHeatSection"	
1807ee532	true	"SurfaceHeatProcessor_PostDispatchProcessing"	
1807ee575	true	"SurfaceHeatProcessor_QueryInterface_DidNotFindInterface"	
1807ee5cd	true	"SurfaceHeatProcessor_Init"	
1807ee64c	true	"SurfaceHeatProcessor_PostDispatchProcessing_NULL"	
1807ee68c	true	"SurfaceHeatProcessor_HandleSystemContextMessageHingeAngle"	
1807ee6f9	true	"SurfaceHeatProcessor_HandleRegionConfigMessage_Failed"	
1807ee7bc	true	"SurfaceHeatProcessor_HandleSystemContextMessageDisplayChange"	
1807ee81b	true	"SurfaceHeatProcessor_SanitizeHeatmap"	
1807ee8ef	true	"SurfaceHeatProcessor_ProcessHeatmap"	
1807ee922	true	"SurfaceHeatProcessor_HandleSystemContextMessageInputStitching"	
1807eea0a	true	"SurfaceHeatProcessor_HandleSystemContextMessageInputStitching_Exit"	
1807eea64	true	"SurfaceHeatProcessor_OnSystemContextMessage_UnknownContext"	
1807eeac5	true	"SurfaceHeatProcessor_SanitizeHeatmap_Null"	
1807eeafe	true	"SurfaceHeatProcessor_QueryInterface_NULL"	
1807eeb36	true	"SurfaceHeatProcessor_ProcessHeatmap_Exit"	
1807eeb6e	true	"HeatProcessHeatMapGetSectionPointer"	
1807eecd9	true	"SurfaceHeatProcessor_OnDeviceAttached_Exit"	
1807eed13	true	"SurfaceHeatProcessor_HandleRegionConfigMessage_InputMsg"	
1807eee35	true	"SurfaceHeatProcessor_HandleSystemContextMessageRegionConfig_Exit"	
1807eefa1	true	"SurfaceHeatProcessor_GetCapabilityList"	
1807eefd7	true	"SurfaceHeatProcessor_OnDeviceReset"	
1807ef016	true	"VirtualHidManagerFailed"	
1807ef046	true	"SurfaceHeatProcessor_HandleRegionConfigMessage_UnknownRegionConfig"	
1807ef0ae	true	"SurfaceHeatProcessor_HandleSystemContextMessageRegionConfig"	
1807ef162	true	"SurfaceHeatProcessor_HandleSystemContextMessageDisplayChange_Exit"	
1807ef1bb	true	"GeneralProcessHeatmapEntry"	
1807ef1e5	true	"SurfaceHeatProcessor_QueryInterface"	
1807ef229	true	"GeneralProcessHeatmapHeatDeviceDetails"	
1807ef272	true	"SurfaceHeatProcessor_GetProcessorCapabilities_Found"	
1807ef30e	true	"SurfaceHeatProcessor_GetCapabilityList_Null"	
1807ef349	true	"SurfaceHeatProcessor_HandleSystemContextMessageRegionConfig_Failed"	
1807ef39b	true	"VirtualHidManager_Init_CrateVirtualHidFailed"	
1807ef427	true	"VirtualHidManager_SendCnmData_SendInputFailed"	
1807ef487	true	"SendCnmData_CnmVirtualHidDeviceIsInvalid"	
1807ef4c8	true	"VirtualHidManager_SendCnmData_SendInput"	
1807ef51d	true	"VirtualHidManager"	
1807ef549	true	"CreateVirtualHidFailed"	
1807ef578	true	"VirtualHidManager_Init"	
1808568d0	true	"?GetProcessorCapabilities@SurfaceHeatProcessor@@UEAAJPEAUIHeatProcessorCapabilities@@@Z"	
180856928	true	"?HandleRegionConfigMessage@SurfaceHeatProcessor@@AEAAJPEAUIHeatRegionConfigMessage@@@Z"	
18085697f	true	"?HandleSystemContextMessageDisplayChange@SurfaceHeatProcessor@@AEAAJPEAUIHeatSystemContextMessage@@@Z"	
1808569e5	true	"?HandleSystemContextMessageHingeAngle@SurfaceHeatProcessor@@AEAAJPEAUIHeatSystemContextMessage@@@Z"	
180856a48	true	"?HandleSystemContextMessageInputStitching@SurfaceHeatProcessor@@AEAAJPEAUIHeatSystemContextMessage@@@Z"	
180856aaf	true	"?HandleSystemContextMessageRegionConfig@SurfaceHeatProcessor@@AEAAJPEAUIHeatSystemContextMessage@@@Z"	
180856b14	true	"?OnDeviceAttached@SurfaceHeatProcessor@@UEAAJPEAUIHeatDevice@@@Z"	
180856b55	true	"?OnDeviceDetached@SurfaceHeatProcessor@@UEAAJPEAUIHeatDevice@@@Z"	
180856b96	true	"?OnDeviceReset@SurfaceHeatProcessor@@UEAAJPEAUIHeatDevice@@@Z"	
180856bd4	true	"?OnSystemContextMessage@SurfaceHeatProcessor@@UEAAJPEAUIHeatSystemContextMessage@@@Z"	
180943ce8	true	".?AVSurfaceHeatProcessor@@"	
